country,iso_code,total_vaccinations,vaccines
Trinidad and Tobago,TTO,991.0,Oxford/AstraZeneca
Tunisia,TUN,12496.0,"Pfizer/BioNTech, Sputnik V"
Turkey,TUR,13265952.0,Sinovac
Turks and Caicos Islands,TCA,6433.0,Pfizer/BioNTech
Uganda,UGA,23527.0,Oxford/AstraZeneca
Ukraine,UKR,121929.0,Oxford/AstraZeneca
United Arab Emirates,ARE,7374725.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
United Kingdom,GBR,30279360.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,126509736.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
Uruguay,URY,344285.0,"Pfizer/BioNTech, Sinovac"
Venezuela,VEN,12194.0,Sputnik V
Vietnam,VNM,36082.0,Oxford/AstraZeneca
Wales,OWID_WLS,1619244.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Zimbabwe,ZWE,43294.0,Sinopharm/Beijing
